reference,date,position,navArea,subreg,hostility,victim,description,
2022-146,2022-06-01,"46°37'50.89""N
31°35'01.64""E",III,55,Military activity,Tanzania-flagged tanker BRENTIX,"UKRAINE: On 1 June, the Tanzania-flagged tanker BRENTIX was struck by a shell while berthed at the port of Ochakov. Reports indicate that the ship’s forecastle area was hit, creating a big hole in the hull above the waterline, damaging the piping system, and sparking a fire onboard. The fire was extinguished quickly by the crew. The vessel was in ballast and no crewmembers were injured during the incident.",
2022-148,2022-05-28,"1°07'00""N
103°31'00""E",XI,71,,Marshall Islands-flagged bulk carrier MAGNUM ENERG,"INDONESIA: On 28 May, at 0259 local time, three robbers armed with knives were sighted in the afterdeck of the Marshall Islands-flagged bulk carrier MAGNUM ENERGY underway in the eastbound lane of the Singapore Strait Traffic Separation Scheme (TSS), near position 01-07N 103-31E. The alarm was raised and the vessel was searched. After the search, the master reported that the robbers escaped with stolen engine spare parts. The incident was reported to the local authorities. The ship and all crew were reported safe, and the vessel continued her voyage.",
2022-149,2022-05-27,"1°07'00""N
103°30'00""E",XI,71,Boarding,Panama-flagged tanker YONG XING SHUN HANG,"INDONESIA: On 27 May, at 2256 local time, three robbers boarded the Panama-flagged tanker YONG XING SHUN HANG underway in the eastbound lane of the Singapore Strait TSS, near position 01-07N 103-30E. The duty engineer saw the perpetrators in the steering gear room and raised the alarm. The crew mustered, and the vessel was searched. According to reports, the three perpetrators escaped empty-handed. The vessel did not require any assistance and continued her voyage. The incident was reported to the local authorities.",
2022-147,2022-05-27,"27°07'57.64""N
56°12'09.81""E",IX,62,detained by the Iranian Revolutionary Guard Corps,Two Greece-flagged tankers,"IRAN: On 27 May, two Greece-flagged tankers, DELTA POSEIDON and PRUDENT WARRIOR, were detained by the Iranian Revolutionary Guard Corps (IRGC) in Bandar Abbas anchorage due to unspecified maritime violations. According to press reports, the two laden tankers were underway off the Iranian coast outbound from the Persian Gulf, when they were boarded and ordered by the IRGC to divert to Bandar Abbas. The IRGC reported that the crew of the two tankers remained onboard and were in good health.",
2022-142,2022-05-25,"12°33'00""N
43°31'00""E",IX,62,,Survey vessel,"DJIBOUTI: On 25 May, at 1050 local time, an underway survey vessel reported a suspicious approach by a skiff with eight people onboard approximately 5 NM southeast of Perim Island, near position 12-33N 043-31E. Upon sighting of the skiff, the master raised the alarm, anti-piracy measures were implemented, and the security team onboard positioned on the bridge. The skiff came close to within half a nautical mile before aborting the approach. The master reported the incident to the authorities.",
2022-145,2022-05-25,"13°14'00""N
65°35'00""W",IV,25,,Two yachts travelling together,"VENEZUELA: On 25 May, at 2130 local time, two yachts travelling together were approached and followed by two small boats while underway approximately 97 NM northeast of Gran Roque Island, near position 13-14N 065-35W. The two yachts were in transit from Grenada to Bonaire, Venezuela, when they were followed by the two small boats for almost two hours. When the two small boats came within 100 meters, the yachts increased their speed and performed evasive maneuvers until they got away. The yachts continued their voyage without further incident.",
2022-138,2022-05-22,"18°32'40.92""N
93°12'48.6""W",IV,28,,Mexico-flagged offshore support vessel CREST TARAS,"MEXICO: On 22 May, at around midnight local time, five robbers armed with rifles boarded the Mexico-flagged offshore support vessel CREST TARASCO underway along the coast of Tabasco. The robbers fired several shots. The crew were mustered and ordered to shelter in place inside the vessel. The perpetrators stayed onboard for about 45 minutes, stealing 35 sets of breathing apparatuses as well as communications and other valuable equipment, and escaped into their small boat. No crewmembers were reported injured during the incident.",
2022-151,2022-05-22,"9°36'47.73""N
79°34'49.23""W",IV,26,,Anchored yacht,"PANAMA: On 22 May, at approximately 0100 local time, an in-water and locked 9.9HP outboard engine was stolen from an anchored yacht in Linton Bay. It is unknown if a police report was made.",
2022-143,2022-05-21,"1°02'00""N
105°05'00""E",XI,71,Boarding,Barbados-flagged bulk carrier SELENA,"(Update of entry 2022-137)  INDONESIA: On 21 May, at 0500 local time, four robbers armed with machetes boarded the Barbados-flagged bulk carrier SELENA underway 15 NM east of Mapur Island, near position 01-02N 105-05E. The perpetrators forced their entry into the navigational bridge through the bridge wing door. They threatened the duty officer and demanded to be brought to the master’s cabin. The perpetrators tried to gain access to the master’s cabin but failed. The alarm was raised and off duty crew were ordered through the public address system to lock themselves in their cabins. The crew mustered later and the vessel was searched. There were no sightings of the perpetrators. It was reported that the ship and all crewmembers were safe and nothing was stolen. The vessel continued her voyage.",
2022-140,2022-05-21,"4°54'00""N
1°42'00""W",II,57,,Panama-flagged bulk carrier V ATLAS,"GHANA: On 21 May, at 0600 local time, an unknown number of robbers boarded the Panama-flagged bulk carrier V ATLAS while anchored in Takoradi Anchorage, near position 04-54N 001-42W. The duty crewmember discovered that the lock on the paint store was breached. According to reports, the robbers escaped unnoticed with stolen buckets of paint and thinner. The incident was reported to the local authorities.",
