,reference,latitude,longitude,date,year,description,hostility,victim,navArea,subreg
0,2022-127,13.716667,121.033333,2022-04-28,2022,"PHILIPPINES: On 28 April, at 0345 local time, three robbers boarded the Marshall Islands-flagged tanker SEXTANS anchored in Batangas Anchorage, near position 13-43N 121-02E. The duty crew sighted the robbers in the forecastle deck. The alarm was raised, and the crew were mustered. The perpetrators escaped with stolen buckets of grease, a bundle of rope, and hatch butterfly nuts. The incident was reported to the local authorities.",No information,Marshall Islands-flagged tanker SEXTANS,XI,91
1,2022-124,1.266667,104.283333,2022-04-27,2022,"INDONESIA On 27 April, at 0226 local time, a robber was spotted in the engine room of a bulk carrier underway in the eastbound lane of the Singapore Strait Traffic Separation Scheme (TSS), near position 01-16N 104-17E. It was reported that the ship and all crew members were safe and nothing was stolen.",Boarding,Bulk carrier,XI,71
2,2022-121,-0.066667,-51.1,2022-04-26,2022,"BRAZIL: On 26 April, at 0400 local time, three robbers boarded a bulk carrier anchored at Macapa Anchorage, near position 00-04S 051-06W. The duty crew member spotted the robbers. The alarm was raised, and the crew were mustered, after which the perpetrators escaped empty-handed.",Boarding,Bulk carrier,V,24
3,2022-128,22.216667,91.716667,2022-04-26,2022,"BANGLADESH: On 26 April, at 0001 local time, a group of robbers boarded the Singapore-flagged tanker STI MAGISTER anchored in the outer Chittagong Anchorage near position 22-13N 091-43E. The duty officer sighted four robbers on the forecastle deck through the vessel’s closed circuit television system. The duty officer raised the alarm and the crew mustered. After the alarm was sounded, three more robbers were seen exiting the forecastle store. Subsequently, crew members saw about eight robbers escaping into a small boat. The vessel was searched, and the forecastle store door lock was found breached and a set of accommodation ladder wire rope was missing. The incident was reported to the local authorities and the coast guard boarded the vessel to conduct an investigation.",No information,Singapore-flagged tanker STI MAGISTER,VIII,63
4,2022-122,59.316667,10.5,2022-04-25,2022,"NORWAY: On the morning of 25 April, a group of protesters onboard small boats and kayaks came alongside the Hong Kong-flagged tanker UST LUGA while anchored at Skagerrak, near position 59-19N 010-30E. According to press reports, the group was protestinq against oil imports from Russia. Activists onboard one of the small boats chained themselves to the ship's anchor chain to prevent the ship from raising its anchor, While others in kayaks unfurled banners readinq ""oil fuels war"". The vessel was loaded with 95,000 tons of crude oil from the port of Ust-Luga, Russia. The local police and coast guard came to monitor the situation. Reports indicate that the vessel later berthed at the port of Slagen at 1800 local time the same day.",Protest,Hong Kong-flagged tanker UST LUGA,I,44
5,2022-118,1.216667,103.883333,2022-04-19,2022,"SINGAPORE: On 19 April, at 2230 local time, the Singapore Police Coast Guard (PCG) arrested nine robbers who had boarded a barge towed by a tug boat in the westbound lane of the Singapore Strait Traffic Separation Scheme (TSS), in the vicinity of Kusu Island near position 01-13N 103-53E. The PCG spotted a suspicious sampan alongside the barge and conducted an investigation, which led to the arrest of eight perpetrators onboard the barge as well as one of the tug boat crew members who had colluded with the robbers.",Boarding,Tug and barge,XI,71
6,2022-125,10.25,80.1,2022-04-19,2022,"INDIA: On 19 April, around 2100 local time, three fishing boats were boarded and robbed while fishing within 13 NM east-southeast of Nagapattinam, state of Tamil Nadu, near position 10-15N 080-06E, According to press reports, items stolen in the three Incidents included GPS devices, mobile phones, inverter batteries, fishing gear, and diesel fuel. The three incidents were reported to Vedaranyam Marine police.",No information,Three fishing vessels,VIII,63
7,2022-119,6.083333,125.15,2022-04-18,2022,"PHILIPPINES: On 18 April, at 0305 local time, an unknown number of robbers boarded the Singapore-flagged container ship KOTA HAPAS, anchored in General Santos Anchorage, near position 06-05N 125-09E. The perpetrators escaped empty-handed and the incident was reported to the local authorities.",Boarding,Singapore-flagged container ship KOTA HAPAS,XI,92
8,2022-123,47.088011,37.579511,2022-04-18,2022,"UKRAINE: Prior to 18 April, crew members were evacuated from the Malta-flagged bulk carrier TZAREVNA berthed at the part of Mariupol, According to press reports, the 15 seafarers (14 Bulgarian and one Ukrainian) traveled by bus from Mariupol to Sochi, Russia, where they were flown by a Bulgarian plane to Varna, Bulgaria. Bulgarian authorities reportedly facilitated the evacuation and coordinated With both Ukrainian and Russian authorities. Five remaining crew members opted to stay onboard the vessel.",Military activity,Malta-flagged bulk carrier TZAREVNA,III,55
9,2022-120,1.233333,103.966667,2022-04-16,2022,"INDONESIA: On 16 April, at 0442 local time, a robber boarded the Malta-flagged tanker MEGALI underway in the eastbound lane of the Singapore Strait TSS, near position 01-14N 103-58E. The perpetrator was sighted at the engine room entrance. The alarm was raised and a search was conducted. It was reported that the ship and all crew members were safe and nothing was stolen.",Boarding,Malta-flagged tanker MEGALI,XI,71
